NaN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
7.872,5.633e-14,3.161e-16,1.294e-16,2.103e-16,3.791e-17,6.954e-18,1.494e-19,2.816e-20,9.652e-23,2.306e-24,7.388e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.312e-37,0,3.617e-14,3.598e-17,3.5e-16,0,1.256e-16,0,3.395e-17,9.004e-18,1.274e-17,2.864e-19,0,0,0,0,0
8.309,5.706e-14,3.329e-16,1.334e-16,2.373e-16,4.521e-17,8.886e-18,2.251e-19,4.694e-20,2.173e-22,5.852e-24,2.567e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13e-37,0,3.662e-14,3.599e-17,3.452e-16,0,1.255e-16,0,3.432e-17,9.24e-18,1.339e-17,3.205e-19,0,0,0,0,0
8.758,5.775e-14,3.501e-16,1.371e-16,2.658e-16,5.333e-17,1.119e-17,3.314e-19,7.558e-20,4.637e-22,1.401e-23,8.211e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.966e-37,0,3.703e-14,3.596e-17,3.406e-16,0,1.252e-16,0,3.463e-17,9.45e-18,1.401e-17,3.557e-19,0,0,0,0,0
9.221,5.838e-14,3.677e-16,1.404e-16,2.956e-16,6.23e-17,1.389e-17,4.774e-19,1.179e-19,9.42e-22,3.181e-23,2.433e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.819e-37,0,3.739e-14,3.591e-17,3.363e-16,0,1.249e-16,0,3.487e-17,9.635e-18,1.46e-17,3.919e-19,0,0,0,0,0
9.698,5.896e-14,3.856e-16,1.432e-16,3.264e-16,7.205e-17,1.701e-17,6.771e-19,1.802e-19,1.875e-21,7.102e-23,7.173e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69e-37,0,3.772e-14,3.584e-17,3.324e-16,0,1.245e-16,0,3.504e-17,9.793e-18,1.516e-17,4.287e-19,0,0,0,0,0
10.19,5.952e-14,4.042e-16,1.458e-16,3.588e-16,8.277e-17,2.064e-17,9.38e-19,2.658e-19,3.478e-21,1.458e-22,1.849e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57e-37,0,3.803e-14,3.576e-17,3.286e-16,0,1.24e-16,0,3.52e-17,9.938e-18,1.571e-17,4.666e-19,0,0,0,0,0
10.69,6.005e-14,4.232e-16,1.481e-16,3.924e-16,9.439e-17,2.478e-17,1.277e-18,3.827e-19,6.21e-21,2.871e-22,4.493e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.461e-37,0,3.831e-14,3.567e-17,3.251e-16,0,1.236e-16,0,3.531e-17,1.006e-17,1.623e-17,5.053e-19,0,0,0,0,0
11.21,6.054e-14,4.427e-16,1.502e-16,4.272e-16,1.069e-16,2.947e-17,1.711e-18,5.392e-19,1.07e-20,5.435e-22,1.034e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.363e-37,0,3.857e-14,3.558e-17,3.217e-16,0,1.231e-16,0,3.54e-17,1.017e-17,1.673e-17,5.446e-19,0,0,0,0,0
11.74,6.101e-14,4.627e-16,1.52e-16,4.63e-16,1.204e-16,3.475e-17,2.258e-18,7.447e-19,1.786e-20,9.924e-22,2.265e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.273e-37,0,3.88e-14,3.548e-17,3.186e-16,0,1.226e-16,0,3.546e-17,1.027e-17,1.722e-17,5.846e-19,0,0,0,0,0
12.28,6.145e-14,4.833e-16,1.536e-16,4.999e-16,1.347e-16,4.063e-17,2.949e-18,1.016e-18,2.939e-20,1.791e-21,4.899e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.194e-37,0,3.902e-14,3.536e-17,3.155e-16,0,1.221e-16,0,3.55e-17,1.035e-17,1.768e-17,6.253e-19,0,0,0,0,0
12.84,6.188e-14,5.046e-16,1.55e-16,5.382e-16,1.501e-16,4.723e-17,3.812e-18,1.366e-18,4.735e-20,3.163e-21,1.026e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.114e-37,0,3.923e-14,3.526e-17,3.129e-16,1.515e-26,1.216e-16,1.01e-26,3.553e-17,1.043e-17,1.814e-17,6.671e-19,1.152e-28,0,0,0,0
13.41,6.228e-14,5.261e-16,1.563e-16,5.766e-16,1.659e-16,5.422e-17,4.862e-18,1.815e-18,7.674e-20,5.673e-21,2.215e-22,9.316e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,5.046e-37,2.241e-26,3.942e-14,3.515e-17,3.103e-16,4.22e-25,1.212e-16,2.143e-25,3.554e-17,1.049e-17,1.858e-17,7.092e-19,1.741e-25,3.122e-26,0,0,0
13.99,6.265e-14,5.479e-16,1.574e-16,6.155e-16,1.827e-16,6.217e-17,6.171e-18,2.383e-18,1.187e-19,9.582e-21,4.375e-22,2.732e-27,1.847e-27,2.731e-27,1.274e-28,0,0,0,0,0,0,0,0,0,0,4.984e-37,8.403e-26,3.959e-14,3.504e-17,3.08e-16,1.402e-24,1.206e-16,6.834e-25,3.552e-17,1.054e-17,1.9e-17,7.515e-19,6.116e-25,3.889e-25,0,0,0
14.59,6.302e-14,5.714e-16,1.582e-16,6.572e-16,2.013e-16,7.098e-17,7.739e-18,3.089e-18,1.822e-19,1.606e-20,8.53e-22,1.058e-26,1.525e-26,5.634e-26,1.309e-26,2.468e-27,1.858e-27,7.228e-28,9.548e-28,2.067e-29,0,0,0,0,0,4.93e-37,2.31e-25,3.974e-14,3.491e-17,3.056e-16,4.023e-24,1.201e-16,1.951e-24,3.548e-17,1.059e-17,1.942e-17,7.962e-19,1.739e-24,1.227e-24,6.473e-26,0,0
15.2,6.336e-14,5.949e-16,1.59e-16,6.99e-16,2.202e-16,8.034e-17,9.457e-18,3.869e-18,2.57e-19,2.416e-20,1.427e-21,2.693e-26,4.036e-26,1.507e-25,3.596e-26,6.796e-27,5.181e-27,2.037e-27,2.706e-27,5.908e-29,0,0,0,0,0,4.877e-37,5.522e-25,3.989e-14,3.479e-17,3.034e-16,9.507e-24,1.197e-16,4.582e-24,3.545e-17,1.063e-17,1.982e-17,8.403e-19,4.151e-24,3.058e-24,1.824e-25,0,0
15.83,6.369e-14,6.19e-16,1.597e-16,7.416e-16,2.401e-16,9.046e-17,1.145e-17,4.796e-18,3.565e-19,3.565e-20,2.328e-21,6.511e-26,1.013e-25,3.816e-25,9.334e-26,1.768e-26,1.363e-26,5.412e-27,7.227e-27,1.59e-28,0,0,0,0,0,4.828e-37,1.257e-24,4.003e-14,3.468e-17,3.014e-16,2.145e-23,1.192e-16,1.027e-23,3.54e-17,1.065e-17,2.02e-17,8.851e-19,9.447e-24,7.247e-24,4.847e-25,0,0
16.46,6.404e-14,6.424e-16,1.604e-16,7.826e-16,2.594e-16,1.01e-16,1.385e-17,5.947e-18,5.042e-19,5.433e-20,3.998e-21,1.637e-25,2.666e-25,1.015e-24,2.725e-25,5.861e-26,4.61e-26,2.353e-26,4.036e-26,1.308e-26,0,0,0,0,0,4.772e-37,3.011e-24,4.018e-14,3.457e-17,2.994e-16,5.096e-23,1.189e-16,2.43e-23,3.537e-17,1.068e-17,2.06e-17,9.298e-19,2.26e-23,1.78e-23,1.933e-24,2.712e-29,0
17.11,6.435e-14,6.677e-16,1.608e-16,8.268e-16,2.809e-16,1.127e-16,1.648e-17,7.222e-18,6.758e-19,7.705e-20,6.183e-21,3.561e-25,6.005e-25,2.304e-24,6.363e-25,1.384e-25,1.098e-25,5.707e-26,9.895e-26,3.316e-26,0,0,0,0,0,4.731e-37,6.204e-24,4.03e-14,3.445e-17,2.976e-16,1.043e-22,1.184e-16,4.949e-23,3.531e-17,1.069e-17,2.097e-17,9.761e-19,4.659e-23,3.797e-23,4.652e-24,7.489e-29,0
17.78,6.464e-14,6.937e-16,1.612e-16,8.718e-16,3.034e-16,1.251e-16,1.946e-17,8.695e-18,8.939e-19,1.076e-19,9.371e-21,7.442e-25,1.297e-24,5.013e-24,1.421e-24,3.128e-25,2.499e-25,1.322e-25,2.315e-25,8.006e-26,0,0,0,0,0,4.692e-37,1.23e-23,4.041e-14,3.434e-17,2.96e-16,2.059e-22,1.18e-16,9.719e-23,3.524e-17,1.07e-17,2.133e-17,1.023e-18,9.246e-23,7.782e-23,1.069e-23,1.957e-28,0
18.46,6.493e-14,7.204e-16,1.615e-16,9.176e-16,3.267e-16,1.384e-16,2.282e-17,1.039e-17,1.168e-18,1.481e-19,1.394e-20,1.497e-24,2.692e-24,1.048e-23,3.046e-24,6.782e-25,5.452e-25,2.931e-25,5.184e-25,1.847e-25,0,0,0,0,0,4.657e-37,2.354e-23,4.051e-14,3.422e-17,2.944e-16,3.924e-22,1.175e-16,1.844e-22,3.517e-17,1.071e-17,2.169e-17,1.072e-18,1.771e-22,1.537e-22,2.352e-23,4.858e-28,0
