
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
52.97	0.1568E-15
54.16	0.1572E-15
55.36	0.1578E-15
56.58	0.1584E-15
57.81	0.1591E-15
59.05	0.1600E-15
60.30	0.1609E-15
61.57	0.1619E-15
62.85	0.1632E-15
64.15	0.1645E-15
65.46	0.1658E-15
66.78	0.1673E-15
68.11	0.1689E-15
69.46	0.1706E-15
70.83	0.1723E-15
72.20	0.1742E-15
73.59	0.1762E-15
74.99	0.1783E-15
76.41	0.1805E-15
77.84	0.1826E-15
79.28	0.1850E-15
80.74	0.1875E-15
82.21	0.1900E-15
83.69	0.1926E-15
85.19	0.1953E-15
86.70	0.1981E-15
88.22	0.2009E-15
89.76	0.2038E-15
91.31	0.2068E-15
92.87	0.2098E-15
94.45	0.2129E-15
96.04	0.2160E-15
97.64	0.2191E-15
99.26	0.2223E-15
100.9	0.2255E-15
102.5	0.2287E-15
104.2	0.2320E-15
105.9	0.2353E-15
107.6	0.2386E-15
109.2	0.2419E-15
111.0	0.2453E-15
112.7	0.2486E-15
114.4	0.2519E-15
116.2	0.2553E-15
117.9	0.2586E-15
119.7	0.2620E-15
121.5	0.2653E-15
123.3	0.2686E-15
125.1	0.2720E-15
127.0	0.2753E-15
128.8	0.2786E-15
130.7	0.2819E-15
132.5	0.2851E-15
134.4	0.2884E-15
136.3	0.2916E-15
138.2	0.2949E-15
140.2	0.2981E-15
142.1	0.3013E-15
144.1	0.3044E-15
146.0	0.3076E-15
148.0	0.3107E-15
150.0	0.3139E-15
 
 
C4    N2    Excitation    0.29 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.1113E-22
1.007	0.1265E-22
1.027	0.1840E-22
1.060	0.3334E-22
1.107	0.7224E-22
1.168	0.1787E-21
1.242	0.4815E-21
1.329	0.1353E-20
1.430	0.3824E-20
1.544	0.1057E-19
1.671	0.2803E-19
1.812	0.7024E-19
1.966	0.1651E-18
2.134	0.3615E-18
2.315	0.7425E-18
2.510	0.1427E-17
2.718	0.2575E-17
2.940	0.4379E-17
3.174	0.7058E-17
3.423	0.1083E-16
3.685	0.1591E-16
3.960	0.2247E-16
4.248	0.3067E-16
4.550	0.4060E-16
4.866	0.5233E-16
5.195	0.6590E-16
5.537	0.8144E-16
5.893	0.9865E-16
6.262	0.1176E-15
6.644	0.1384E-15
7.040	0.1607E-15
7.450	0.1847E-15
7.872	0.2103E-15
8.309	0.2373E-15
8.758	0.2658E-15
9.221	0.2956E-15
9.698	0.3264E-15
10.19	0.3588E-15
10.69	0.3924E-15
11.21	0.4272E-15
11.74	0.4630E-15
12.28	0.4999E-15
12.84	0.5382E-15
13.41	0.5766E-15
13.99	0.6155E-15
14.59	0.6572E-15
15.20	0.6990E-15
15.83	0.7416E-15
16.46	0.7826E-15
17.11	0.8268E-15
17.78	0.8718E-15
18.46	0.9176E-15
19.15	0.9643E-15
19.85	0.1015E-14
20.57	0.1063E-14
21.30	0.1112E-14
22.05	0.1162E-14
22.81	0.1213E-14
23.58	0.1264E-14
24.36	0.1310E-14
25.16	0.1363E-14
25.97	0.1417E-14
26.80	0.1471E-14
27.64	0.1526E-14
28.49	0.1582E-14
29.36	0.1639E-14
30.23	0.1696E-14
31.13	0.1762E-14
32.03	0.1821E-14
